"DISTRICT_ID","DISTRICT_NAME","PROVINCE_ID"
602,"HUYỆN CÔN ĐẢO",53
603,"HUYỆN LONG ĐIỀN",53
604,"HUYỆN TÂN TRỤ",54
605,"HUYỆN ĐỨC HUỆ",54
606,"HUYỆN CẦN GUỘC",54
607,"HUYỆN CẦN ĐƯỚC",54
608,"HUYỆN TÂN HƯNG",54
609,"HUYỆN CHÂU THÀNH",54
610,"HUYỆN BẾN LỨC",54
611,"HUYỆN TÂN THẠNH",54
612,"HUYỆN THẠNH HÓA",54
613,"HUYỆN MỘC HÓA",54
614,"HUYỆN ĐỨC HÒA",54
615,"HUYỆN VĨNH HƯNG",54
616,"THỊ XÃ TÂN AN",54
617,"HUYỆN THỦ THỪA",54
618,"THỊ XÃ KIẾN TƯỜNG",54
619,"HUYỆN TÂN HỒNG",55
620,"HUYỆN LẤP VÒ",55
621,"THÀNH PHỐ CAO LÃNH",55
622,"HUYỆN LAI VUNG",55
623,"HUYỆN CHÂU THÀNH",55
624,"HUYỆN HỒNG NGỰ",55
625,"HUYỆN CAO LÃNH",55
626,"THỊ XÃ SA ĐÉC",55
627,"HUYỆN THÁP MƯỜI",55
628,"THỊ XÃ HỒNG NGỰ",55
629,"HUYỆN THANH BÌNH",55
630,"HUYỆN TAM NÔNG",55
631,"THỊ XÃ CHÂU ĐỐC",56
632,"HUYỆN PHÚ TÂN",56
633,"THÀNH PHỐ LONG XUYÊN",56
634,"HUYỆN AN PHÚ",56
635,"HUYỆN CHỢ MỚI",56
636,"HUYỆN CHÂU PHÚ",56
637,"THỊ XÃ TÂN CHÂU",56
638,"HUYỆN TỊNH BIÊN",56
639,"HUYỆN TRI TÔN",56
640,"HUYỆN CHÂU THÀNH",56
641,"HUYỆN THOẠI SƠN",56
642,"HUYỆN BÌNH MINH",57
643,"HUYỆN LONG HỒ",57
644,"HUYỆN BÌNH TÂN",57
645,"HUYỆN VŨNG LIÊM",57
646,"HUYỆN TAM BÌNH",57
647,"THÀNH PHỐ VĨNH LONG",57
648,"HUYỆN TRÀ ÔN",57
